============================================================
双色球历史开奖记录
数据更新时间：2026-03-23 13:01:54
共 1820 期开奖数据
============================================================

格式：开奖日期 | 期号 | 红球 (6 个) | 蓝球 (1 个)
------------------------------------------------------------

2026-03-22 | 2026031 | 红球：03 10 12 13 18 33 | 蓝球：08
2026-03-19 | 2026030 | 红球：10 11 14 19 22 24 | 蓝球：04
2026-03-17 | 2026029 | 红球：06 19 22 23 28 31 | 蓝球：05
2026-03-15 | 2026028 | 红球：02 06 09 17 25 28 | 蓝球：15
2026-03-12 | 2026027 | 红球：02 13 17 18 25 26 | 蓝球：13
2026-03-10 | 2026026 | 红球：02 09 16 22 25 29 | 蓝球：03
2026-03-08 | 2026025 | 红球：02 03 15 20 23 24 | 蓝球：10
2026-03-05 | 2026024 | 红球：01 02 13 21 23 29 | 蓝球：14
2026-03-03 | 2026023 | 红球：01 03 08 10 23 29 | 蓝球：06
2026-03-01 | 2026022 | 红球：15 18 23 25 28 32 | 蓝球：11
2026-02-26 | 2026021 | 红球：03 13 25 26 30 31 | 蓝球：04
2026-02-24 | 2026020 | 红球：01 13 14 21 24 30 | 蓝球：02
2026-02-12 | 2026019 | 红球：07 08 16 17 18 30 | 蓝球：01
2026-02-10 | 2026018 | 红球：11 15 17 22 25 30 | 蓝球：07
2026-02-08 | 2026017 | 红球：01 03 05 18 29 32 | 蓝球：04
2026-02-05 | 2026016 | 红球：04 05 09 10 27 30 | 蓝球：13
2026-02-03 | 2026015 | 红球：07 10 13 22 27 31 | 蓝球：12
2026-02-01 | 2026014 | 红球：07 13 19 22 26 32 | 蓝球：01
2026-01-29 | 2026013 | 红球：04 09 12 13 16 20 | 蓝球：01
2026-01-27 | 2026012 | 红球：03 05 07 16 20 24 | 蓝球：08
2026-01-25 | 2026011 | 红球：02 03 04 20 31 32 | 蓝球：04
2026-01-22 | 2026010 | 红球：04 09 10 15 19 26 | 蓝球：12
2026-01-20 | 2026009 | 红球：03 06 13 19 23 25 | 蓝球：10
2026-01-18 | 2026008 | 红球：06 09 16 27 31 33 | 蓝球：10
2026-01-15 | 2026007 | 红球：09 13 19 27 29 30 | 蓝球：01
2026-01-13 | 2026006 | 红球：02 06 22 23 24 28 | 蓝球：15
2026-01-11 | 2026005 | 红球：01 20 22 27 30 33 | 蓝球：10
2026-01-08 | 2026004 | 红球：03 07 08 09 18 32 | 蓝球：10
2026-01-06 | 2026003 | 红球：05 06 09 21 28 30 | 蓝球：16
2026-01-04 | 2026002 | 红球：01 05 07 18 30 32 | 蓝球：02
2026-01-01 | 2026001 | 红球：02 06 11 12 13 33 | 蓝球：15
2025-12-30 | 2025151 | 红球：08 09 14 22 28 30 | 蓝球：04
2025-12-28 | 2025150 | 红球：06 13 17 19 24 31 | 蓝球：08
2025-12-25 | 2025149 | 红球：01 02 04 06 22 30 | 蓝球：10
2025-12-23 | 2025148 | 红球：03 04 09 10 15 22 | 蓝球：16
2025-12-21 | 2025147 | 红球：01 03 05 08 22 33 | 蓝球：08
2025-12-18 | 2025146 | 红球：05 07 12 24 26 28 | 蓝球：02
2025-12-16 | 2025145 | 红球：11 12 15 18 25 32 | 蓝球：14
